user_id	resource_id	real_rating	predict_rating	
22	377	1	2
244	51	2	4
166	346	1	3
298	474	4	5
115	265	2	4
253	465	5	4
305	451	3	3
6	86	3	4
286	1014	5	3
210	40	3	3
224	29	3	3
303	785	3	3
122	387	5	4
291	1042	4	4
234	1184	2	2
167	486	4	4
299	144	4	4
291	118	2	3
95	546	2	3
38	95	5	5
102	768	2	2
50	246	3	4
301	98	4	4
290	88	4	4
278	603	5	5
276	796	1	3
7	32	4	4
284	304	4	4
287	327	5	4
246	201	5	3
242	1137	5	5
249	241	5	4
178	332	3	4
25	181	5	5
72	679	2	3
87	384	4	3
290	143	5	4
42	423	5	4
292	515	4	5
115	20	3	4
201	219	4	3
13	526	3	4
246	919	4	4
223	274	4	3
189	512	4	5
243	15	3	3
92	1049	1	2
194	165	4	4
241	690	2	4
225	480	5	5
291	144	5	4
222	366	4	3
42	403	3	4
8	338	4	3
162	25	4	4
119	1153	5	4
62	382	3	3
28	209	4	4
293	685	3	2
216	144	4	4
250	496	4	4
271	132	5	4
160	174	5	4
265	118	4	4
42	96	5	4
110	307	4	3
58	144	4	4
237	514	4	4
94	789	4	4
72	195	5	4
224	245	3	3
293	471	3	3
59	23	5	5
244	815	4	3
174	368	1	2
87	274	4	4
194	1211	2	3
82	1134	2	3
244	756	2	2
43	14	2	4
299	955	4	3
84	405	3	4
299	111	3	3
194	466	4	3
85	427	3	4
303	919	4	4
121	514	3	4
68	117	4	3
172	177	4	3
19	4	4	4
305	117	2	3
44	294	4	3
80	466	5	4
254	164	4	3
279	1240	1	4
268	1035	2	2
7	455	4	4
213	172	5	5
130	379	4	4
38	328	4	4
293	1267	3	2
1	61	4	4
92	77	3	3
207	476	2	3
292	174	5	5
251	748	2	3
52	280	3	4
161	202	5	3
125	235	2	2
97	228	5	4
83	234	4	4
194	181	3	3
125	478	4	4
110	688	1	2
299	14	4	4
151	10	5	4
6	14	5	4
16	944	1	4
301	790	4	3
276	1091	3	3
305	214	2	3
91	323	2	3
286	171	4	4
303	842	2	4
62	65	4	3
207	591	3	3
301	401	4	3
36	339	5	3
250	7	4	4
14	98	3	5
303	815	3	3
295	218	5	4
268	930	2	2
268	2	2	3
66	258	4	4
307	89	5	5
181	264	2	1
297	133	4	4
181	872	1	1
59	468	3	4
286	143	4	4
113	595	5	3
292	11	5	5
218	209	5	4
123	427	3	4
222	118	4	3
302	322	2	2
301	79	5	4
181	3	2	1
13	198	3	3
1	189	3	4
145	237	5	4
23	385	4	3
95	135	3	4
222	77	4	3
270	452	4	4
187	64	5	5
200	304	5	4
170	749	5	4
101	829	3	2
184	218	3	3
128	204	4	4
94	343	4	3
128	508	4	4
23	323	2	3
301	191	3	4
222	724	3	3
218	430	3	4
308	1197	4	3
69	256	5	4
254	662	4	3
276	2	4	3
104	984	1	2
63	1067	3	3
267	410	4	4
286	237	2	4
18	26	4	3
92	229	3	3
144	89	3	4
191	302	4	4
271	199	4	4
207	258	4	3
272	1393	2	3
299	577	3	2
94	1224	3	3
10	175	3	4
203	321	3	3
191	286	4	4
43	323	3	3
21	558	5	3
13	344	2	3
194	66	3	3
234	206	4	3
308	402	4	3
269	522	5	3
94	265	4	4
121	291	3	3
134	286	3	3
234	612	3	4
104	117	2	3
38	758	1	2
7	163	4	4
52	250	3	4
102	823	3	2
13	186	4	4
236	71	3	4
256	781	5	4
279	1181	4	2
43	815	4	4
297	716	3	3
144	699	4	4
64	392	3	4
222	97	4	4
268	436	3	3
59	715	5	4
5	17	4	2
128	15	4	4
239	56	4	5
250	238	4	4
201	649	3	3
216	228	3	4
216	531	4	4
92	587	3	3
13	892	3	2
117	1047	2	3
269	217	2	2
85	259	2	2
201	960	2	3
91	480	4	5
299	305	3	3
187	210	4	4
222	278	2	3
214	568	4	4
293	770	3	3
285	191	4	5
96	156	4	5
72	1110	3	2
73	480	4	4
269	246	5	4
70	431	3	4
264	294	3	4
200	365	5	4
187	135	4	4
184	187	4	5
63	289	2	2
13	229	4	3
298	486	3	5
235	185	4	5
62	712	4	3
246	94	2	3
54	742	5	4
92	168	4	4
164	406	2	3
117	150	4	5
193	869	3	3
64	381	4	3
151	176	2	4
45	25	4	4
193	879	3	3
276	922	4	4
234	187	4	4
181	306	1	2
293	249	3	3
264	721	5	4
10	611	5	5
197	346	3	3
308	427	4	4
221	943	4	4
131	126	4	4
198	58	3	3
181	741	1	2
234	448	3	3
193	941	4	3
128	603	5	5
126	905	2	4
244	265	4	3
119	382	5	4
21	222	2	3
231	181	4	4
280	508	3	4
288	132	3	4
72	699	3	4
90	259	2	3
308	55	3	4
59	742	3	4
276	40	3	3
181	1015	1	1
178	845	4	4
217	597	4	3
308	81	5	4
307	94	3	3
222	781	3	3
121	740	3	3
269	22	1	3
13	864	4	3
239	1099	5	4
56	546	3	3
222	812	2	3
22	376	3	3
294	931	3	2
82	717	1	2
269	234	1	3
6	98	5	4
243	1039	4	4
298	181	4	5
282	325	1	3
283	1114	5	5
70	217	4	3
10	100	5	5
245	181	4	4
246	561	1	3
276	70	4	4
244	17	2	3
214	478	4	4
306	235	4	3
60	430	5	4
42	274	5	4
1	202	5	4
13	809	4	3
15	749	1	3
185	23	4	5
7	497	4	4
178	317	4	4
178	742	3	4
234	1462	3	4
117	268	5	5
269	705	2	3
130	1246	3	2
101	304	3	3
181	762	2	2
213	235	1	3
92	739	2	3
274	845	5	4
18	86	4	4
193	407	4	2
22	128	5	4
8	22	5	4
299	134	4	4
1	171	5	4
308	295	3	4
222	49	3	3
181	121	4	2
234	626	4	3
244	707	4	4
90	25	5	4
279	586	4	2
49	302	4	3
205	304	3	3
22	80	4	2
223	328	3	3
15	25	3	3
268	147	4	3
94	1220	3	3
274	405	4	4
7	492	5	4
268	217	2	3
16	55	5	4
164	620	3	4
290	161	4	4
92	515	4	4
248	234	4	4
234	10	3	3
308	187	5	5
276	64	5	5
85	588	3	4
201	272	3	4
181	870	2	1
295	739	4	4
263	568	4	4
293	423	3	3
82	597	3	3
276	181	5	4
83	660	4	4
189	20	5	4
146	1022	5	4
125	80	4	3
13	780	1	3
253	259	2	3
77	518	4	4
291	686	5	4
262	28	3	3
234	81	3	3
158	729	3	4
156	661	4	4
232	52	5	4
37	288	4	3
141	245	3	4
77	172	3	4
90	506	5	4
186	566	5	4
7	661	5	5
42	1028	4	3
178	433	4	3
85	51	2	3
90	258	3	4
295	190	4	5
272	317	4	5
207	318	5	4
234	487	3	4
87	82	5	4
195	1052	1	2
306	287	4	4
194	172	3	4
94	62	3	3
230	304	5	4
181	927	1	2
54	302	4	5
90	22	4	4
181	696	2	2
286	357	4	4
181	405	4	2
65	806	4	4
37	540	2	3
94	572	3	3
286	746	4	4
216	55	5	4
254	121	3	3
62	665	2	3
194	23	4	4
268	955	3	3
158	1098	4	4
161	48	1	3
47	324	3	4
7	378	5	4
59	92	5	4
10	461	3	4
21	129	4	4
7	200	5	4
113	126	5	4
173	328	5	4
95	233	4	3
16	194	5	5
292	589	4	5
235	70	5	4
125	190	5	4
284	322	3	3
254	378	3	4
255	1034	1	2
90	923	5	5
6	463	4	4
286	298	4	4
222	448	3	3
297	57	5	4
130	1217	4	4
254	357	3	4
230	1444	2	3
36	748	4	4
256	443	3	4
102	515	1	3
104	285	4	3
21	447	5	4
270	98	5	5
89	216	5	4
128	317	4	4
286	175	5	4
140	332	3	3
11	227	3	3
150	181	5	4
20	208	2	4
109	566	4	4
85	1065	3	3
223	11	3	4
218	208	3	4
174	937	5	4
68	742	1	3
160	462	4	4
99	1016	5	4
2	251	5	5
92	831	2	2
7	543	3	4
87	401	2	3
287	926	4	3
222	53	5	3
161	318	3	3
196	393	4	4
82	477	3	3
226	56	4	4
279	741	5	3
308	1286	3	4
16	8	5	5
203	93	4	4
145	56	5	4
288	305	4	4
44	644	3	4
297	89	4	4
73	206	3	3
239	194	5	4
280	1	4	4
1	117	3	4
6	69	3	3
85	642	4	3
110	38	3	3
184	522	3	4
99	873	1	3
13	418	2	3
201	518	4	3
13	858	1	2
222	87	3	4
279	725	4	3
217	182	2	3
13	72	4	3
313	478	3	4
62	182	5	4
90	12	5	5
130	1248	3	4
100	354	2	3
195	751	4	4
130	105	4	3
56	222	5	4
249	239	3	4
94	860	2	3
84	121	4	4
275	265	4	4
244	172	4	4
53	281	4	4
244	790	4	3
151	13	3	4
24	191	5	5
234	241	2	3
293	137	3	4
75	240	1	3
313	566	4	4
144	125	4	4
145	974	1	3
72	234	4	4
181	619	3	2
207	107	3	3
185	216	4	4
149	319	2	3
230	963	5	5
62	86	2	4
291	418	4	4
207	58	3	3
283	845	4	4
297	275	5	4
181	334	1	2
297	234	3	4
186	148	4	3
312	692	4	4
91	683	3	2
7	644	5	4
276	419	5	4
83	210	5	4
102	524	3	3
62	302	3	4
49	995	3	3
207	554	2	2
254	219	1	3
83	97	4	4
63	100	5	4
16	178	5	5
90	945	5	5
85	25	2	3
303	393	4	3
94	792	4	4
184	98	4	4
200	892	4	3
296	222	5	4
7	662	3	4
72	196	4	4
286	85	5	4
190	974	2	3
82	756	1	2
308	436	4	4
59	235	1	3
64	1063	3	4
285	269	4	4
207	65	3	3
198	658	3	3
220	333	3	4
158	128	2	4
143	682	3	4
199	221	4	4
276	78	4	3
299	847	4	3
301	138	2	3
164	281	4	4
96	673	4	4
233	177	4	4
6	517	4	4
277	257	3	3
6	23	4	4
38	573	1	4
313	436	4	4
22	241	3	4
262	617	3	3
13	147	3	3
44	258	4	4
16	89	2	5
270	558	5	4
138	523	5	4
234	147	3	3
239	96	5	4
15	331	3	3
82	194	4	4
307	949	4	3
10	488	5	5
116	331	3	3
246	721	4	3
234	98	4	4
194	239	3	3
122	378	4	4
312	100	4	5
130	307	4	4
250	196	4	4
43	40	3	3
42	953	2	3
4	264	3	4
176	324	5	3
44	15	4	4
29	189	4	4
130	949	3	4
303	779	1	3
181	1334	1	1
92	747	4	3
58	173	5	5
298	625	4	4
254	230	4	4
181	1327	1	1
145	1248	3	3
200	588	5	5
248	257	3	3
297	432	4	4
312	133	5	5
151	12	5	5
305	483	5	4
186	263	3	2
214	213	4	4
233	208	4	5
104	287	2	3
312	153	2	4
1	222	4	4
206	323	1	2
205	316	4	4
14	174	5	4
268	790	2	3
222	1041	3	3
279	89	4	4
112	331	4	4
296	429	5	4
87	210	5	5
181	328	3	2
23	463	4	4
253	746	3	4
299	1047	2	2
66	1	3	4
216	174	5	5
290	208	3	4
4	303	5	5
144	831	3	3
138	517	4	5
64	433	2	4
5	1	4	4
276	357	5	5
62	433	5	4
239	475	5	4
208	197	5	4
24	763	5	4
279	1162	3	1
101	596	3	3
162	1019	4	4
99	246	3	4
239	430	3	5
160	160	5	4
303	1160	2	4
44	507	3	4
28	217	3	3
305	79	3	3
109	1012	4	3
207	25	4	3
109	1	4	4
15	222	3	3
58	709	5	4
303	693	4	4
152	111	5	4
194	160	2	3
92	241	3	3
77	91	3	4
177	321	2	3
131	221	3	5
85	282	3	3
181	1	3	3
277	255	4	3
279	96	4	4
276	568	4	4
177	69	1	4
25	208	4	4
288	272	5	5
207	1350	2	3
271	56	3	4
274	748	5	3
70	419	5	4
311	559	2	4
151	919	5	5
99	274	1	4
59	77	4	4
184	277	3	4
222	88	4	4
38	161	5	4
59	418	2	4
104	300	3	3
7	674	2	3
312	573	5	3
234	1397	4	3
75	546	3	3
117	15	5	4
246	239	3	3
59	54	4	3
256	220	3	4
216	196	5	4
13	195	3	4
144	153	5	4
210	274	5	4
94	471	4	4
13	807	1	3
125	657	3	4
65	1142	4	4
294	508	4	4
294	930	3	3
85	13	3	4
303	426	3	3
212	180	1	4
181	240	1	1
303	1109	4	3
184	191	4	4
13	121	5	3
43	5	4	4
215	164	3	4
62	288	2	3
280	127	5	4
35	243	2	3
48	680	3	2
11	38	3	3
106	582	4	4
181	1010	1	1
22	258	5	4
308	95	4	4
60	208	5	5
243	208	4	4
92	540	2	2
200	478	5	5
116	250	4	3
295	172	4	5
295	235	4	4
156	641	5	4
269	1165	1	1
237	191	4	5
287	252	1	3
65	100	3	4
272	1101	5	4
94	211	5	4
246	425	5	3
176	327	3	4
13	396	3	2
257	1260	2	3
147	904	5	5
151	58	4	4
184	660	3	4
311	386	3	3
105	268	4	3
263	416	5	4
94	1048	4	3
45	118	4	3
279	144	4	4
71	89	5	4
182	69	5	4
214	302	4	4
151	485	5	4
102	322	3	2
249	930	2	3
109	258	5	4
222	552	2	3
303	145	1	3
151	372	5	4
304	237	5	4
290	568	3	4
28	79	4	4
168	1278	3	4
234	1186	4	3
87	196	5	5
150	129	4	4
161	98	4	3
70	210	4	4
51	182	3	4
204	216	4	4
164	685	5	4
184	207	4	4
60	403	3	4
222	1042	4	3
197	300	4	4
92	790	3	3
201	747	2	3
193	410	3	3
214	693	3	4
73	657	5	4
48	309	3	3
255	472	1	2
66	7	3	4
130	901	1	3
178	276	3	4
90	245	3	4
181	1094	1	0
267	17	4	4
201	51	2	3
59	387	3	4
170	292	5	4
110	578	3	3
60	1021	5	4
197	55	3	3
38	679	5	4
84	748	4	3
316	98	5	4
25	25	5	4
168	274	4	4
103	24	4	4
299	588	4	3
287	294	5	4
234	582	4	3
279	1048	1	3
87	9	4	4
181	408	1	3
49	47	5	3
44	95	4	4
135	39	3	3
116	942	3	3
318	474	4	4
222	1044	4	3
42	685	4	4
145	1245	5	3
184	161	2	3
49	625	3	2
177	243	1	2
32	290	3	3
308	848	4	4
130	806	3	4
49	581	3	3
195	300	3	3
130	316	4	5
104	293	3	3
201	1229	3	1
99	50	5	5
227	295	5	3
3	337	1	3
94	820	1	3
262	821	3	3
6	508	3	4
16	56	5	5
293	132	4	4
62	132	5	4
94	346	4	4
13	59	4	4
102	161	2	3
291	7	5	4
312	28	4	4
291	70	4	4
109	588	4	4
246	1218	3	3
65	196	5	5
92	115	3	4
269	674	2	2
308	493	3	4
32	151	3	4
224	191	4	4
215	423	5	4
154	289	2	3
201	509	3	3
85	298	4	4
180	68	5	4
188	218	5	4
144	508	4	4
73	94	1	2
177	203	4	4
276	273	4	4
198	7	4	4
189	197	5	5
73	56	4	5
172	462	3	3
120	546	2	3
101	471	3	3
5	102	3	3
26	235	2	2
268	1249	2	2
276	773	3	4
128	482	4	4
22	510	5	4
207	192	3	4
264	504	5	5
137	687	4	3
307	687	1	2
42	176	3	4
189	634	3	4
262	121	3	3
259	772	4	3
239	58	5	3
312	921	5	4
102	448	3	3
95	527	4	4
253	510	5	4
201	919	3	3
1	17	3	3
214	42	5	4
59	148	3	3
6	469	5	4
82	14	4	3
305	50	5	4
94	58	5	4
217	144	4	3
244	148	2	3
313	200	3	4
116	1216	3	3
117	151	4	4
221	327	4	4
90	553	2	4
116	271	4	3
291	1139	3	3
196	251	3	4
307	1022	4	4
291	501	4	4
254	379	1	3
276	157	5	4
276	1157	2	3
7	576	5	4
250	404	4	4
234	808	2	2
289	282	3	4
50	823	3	3
18	496	5	4
209	906	2	3
314	535	4	4
262	568	3	3
95	172	4	5
94	470	4	4
271	714	3	3
148	140	1	4
223	977	2	2
210	357	5	5
185	199	4	4
235	480	4	5
276	939	3	4
303	738	2	3
224	873	2	3
298	252	4	4
42	195	5	4
92	665	3	2
92	731	4	3
254	188	3	3
311	203	5	4
263	197	4	4
201	660	3	3
217	7	4	3
81	169	4	5
276	364	3	3
49	7	4	3
276	226	4	4
134	313	5	5
311	849	3	3
181	1383	1	1
247	736	5	4
313	745	3	4
59	550	5	4
201	206	2	3
286	1316	5	4
11	725	3	2
103	127	4	4
11	110	3	2
87	2	4	4
45	763	2	4
291	732	4	4
254	575	3	2
49	334	4	3
222	1284	4	3
177	209	4	4
299	235	1	3
315	185	4	5
262	47	2	3
191	754	3	4
106	778	4	4
84	12	5	4
261	875	5	3
190	302	5	4
224	20	1	3
267	840	4	3
6	357	4	4
297	736	4	3
250	244	4	3
58	268	5	4
23	1006	3	3
307	265	3	4
276	1095	1	3
223	411	1	3
137	300	5	5
286	34	5	3
150	221	4	4
1	90	4	3
189	1005	4	4
49	38	1	1
311	5	3	4
151	89	5	5
95	1229	2	2
213	609	4	4
203	181	5	4
308	863	3	4
269	47	4	4
127	294	4	4
45	473	3	3
201	1010	3	3
230	202	4	4
92	219	4	3
318	356	4	4
267	403	4	4
16	155	3	4
180	762	4	4
178	282	3	4
180	737	3	4
293	496	5	4
269	793	4	3
54	685	3	4
303	209	5	4
13	766	4	3
314	95	5	4
151	387	5	4
201	403	3	3
270	370	5	4
256	716	5	4
80	582	3	4
312	121	3	4
189	1115	4	4
77	195	5	4
99	742	5	4
181	1342	1	2
206	900	1	3
83	338	4	2
94	347	5	4
101	281	2	3
267	980	3	4
201	1245	4	3
314	276	1	4
18	387	4	4
207	4	4	3
313	96	5	4
215	144	4	4
234	1015	2	2
296	248	5	4
210	161	5	4
201	79	4	3
5	376	2	2
184	181	4	4
275	449	3	3
185	269	5	4
276	550	4	3
216	69	5	4
21	457	1	2
16	471	3	4
291	471	4	4
7	580	3	4
308	559	4	4
59	710	3	4
238	756	3	3
186	470	5	3
299	615	4	4
10	504	5	5
110	682	4	3
181	327	3	2
47	995	3	4
60	222	4	4
244	409	4	3
276	246	4	4
90	906	2	4
234	20	4	3
106	107	4	4
216	697	4	4
294	1199	2	3
323	257	2	4
170	299	3	3
230	142	4	3
7	581	5	4
275	501	3	3
44	250	5	4
291	214	4	4
174	395	1	3
194	234	3	4
201	197	4	4
184	155	3	3
186	983	3	3
68	7	3	4
286	721	3	3
13	14	4	4
187	215	3	4
71	134	3	5
306	242	5	4
303	277	3	4
198	135	5	4
232	91	5	4
53	24	3	4
299	971	2	4
7	106	4	3
239	10	5	5
238	111	4	3
130	267	5	3
298	152	3	4
104	327	2	3
42	185	4	4
291	578	4	3
184	71	4	4
158	1011	4	4
174	237	4	4
63	1028	3	2
275	173	3	4
230	234	4	4
73	357	5	4
130	245	1	4
64	778	5	3
244	89	5	4
295	704	5	4
293	288	3	3
125	997	2	2
279	487	3	3
76	582	3	4
272	48	4	5
269	285	5	4
244	380	4	3
271	220	3	3
321	287	3	3
85	277	2	3
116	7	2	4
177	299	4	3
82	231	2	2
223	969	5	3
107	271	2	3
26	25	3	3
167	364	3	3
56	196	2	4
7	650	3	4
82	919	3	3
43	151	4	4
10	289	4	3
197	515	5	4
57	756	3	3
246	82	2	3
62	24	4	3
323	223	4	4
268	63	1	2
18	863	3	4
194	237	3	3
194	82	2	3
290	82	4	4
262	96	4	3
279	491	5	4
305	61	4	4
269	156	5	4
276	180	5	5
323	298	4	4
296	258	5	4
18	965	4	4
125	239	5	4
244	652	5	4
138	211	4	4
59	604	3	4
221	1059	4	3
13	451	1	3
219	882	3	4
60	604	4	4
63	50	4	4
255	448	3	3
311	172	5	5
7	582	5	4
7	127	5	5
189	203	3	5
6	143	2	4
305	960	1	3
226	147	3	3
204	340	5	4
6	275	4	4
269	82	2	2
181	1164	3	1
5	231	2	2
286	258	4	4
104	249	3	3
303	65	4	4
13	289	2	3
234	614	3	3
1	64	5	5
312	641	5	5
207	810	2	3
239	478	5	4
142	181	5	4
296	242	4	5
291	571	2	3
294	676	3	3
69	174	5	5
195	265	4	4
121	509	5	4
49	17	2	3
7	196	5	4
175	96	3	4
59	588	2	4
310	24	4	3
18	494	3	4
303	87	3	4
97	482	5	4
268	470	3	3
256	765	4	3
232	175	5	4
159	685	4	4
99	182	4	4
175	71	4	4
326	22	4	4
303	291	3	3
162	181	4	4
268	52	3	4
62	365	2	3
207	121	3	3
173	286	5	5
67	1095	4	3
213	12	5	5
268	684	3	3
269	729	2	2
14	709	5	4
191	752	3	4
222	29	3	2
201	421	2	3
303	1315	3	3
22	79	4	4
249	11	5	4
269	616	4	3
197	294	4	3
42	603	4	4
26	1016	3	3
7	560	3	3
299	186	3	4
115	127	5	5
59	433	5	4
279	789	4	3
63	222	3	3
179	905	4	3
303	302	4	4
10	505	4	5
62	464	4	3
92	289	3	3
308	378	3	4
181	1348	1	1
110	1179	2	3
236	313	4	4
310	536	4	4
187	523	3	4
151	402	3	4
268	264	3	2
16	191	5	5
234	482	4	4
303	323	1	2
233	99	3	5
66	249	4	3
301	174	5	5
92	1142	4	4
99	410	5	4
97	98	4	5
313	673	4	4
67	147	3	4
234	50	4	4
40	880	3	3
7	241	4	4
314	1289	2	2
81	3	4	3
96	479	4	5
130	931	2	3
3	343	3	3
224	658	1	3
11	517	2	3
298	91	2	4
59	170	4	4
147	305	4	5
314	1518	4	3
256	413	4	3
234	618	3	3
246	8	3	3
255	678	2	2
92	106	3	2
276	34	2	3
97	50	5	5
14	530	5	4
13	97	4	4
165	325	4	3
82	596	3	3
276	384	3	3
77	238	5	4
201	405	4	2
291	226	5	4
113	326	5	4
313	191	5	4
207	531	4	4
214	151	5	4
44	123	4	4
18	154	4	4
297	628	4	3
279	116	1	4
7	28	5	4
115	92	4	4
308	581	4	3
81	824	3	2
293	1161	2	3
41	28	4	4
287	249	5	4
201	117	2	3
186	385	4	4
303	1095	2	3
229	313	2	3
126	262	4	4
34	242	5	4
173	323	5	4
279	65	1	3
89	197	5	5
308	435	4	4
42	1041	4	4
164	299	4	4
125	1180	3	3
177	960	3	4
130	366	5	4
158	414	4	4
279	42	4	3
210	58	4	4
293	36	1	2
21	839	1	3
311	180	4	4
198	214	4	3
267	238	4	4
60	47	4	4
92	79	4	4
314	1218	4	4
319	338	2	3
99	204	4	4
123	192	5	4
222	135	5	4
224	149	1	2
268	135	4	4
83	640	2	3
106	692	3	4
305	186	4	3
181	1320	1	1
85	647	4	4
280	693	3	3
286	628	4	4
76	92	4	4
201	292	3	3
235	647	4	4
5	24	4	3
85	272	4	4
64	93	2	4
151	429	5	4
287	56	5	5
96	153	4	4
